group_name,company,group_type,debute_year,disband_year,current_status,social_accounts,inactive_members,current_members,original_members_remainding,initial_members,member_changes,subunits,albums,mini_albums,other_albums,singles,digital_singles,other_singles,foreign_albums,foreign_mini_albums,foreign_other_album,foreign_singles,foreign_digital_singles,foreign_other_singles,others,last_production_year
Busters,colabs,Female,2017,0,Active,4,0,4,0,5,10,0,0,1,0,3,1,0,0,0,0,0,0,0,0,2020
BVNDIT,mnh_entertainment,Female,2019,0,Active,7,0,5,5,5,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,2020
Byulzzi,the_new_entertainment,Female,2020,0,Active,4,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020
C.I.V.A,lee&tak_entertainment,Female,2016,2016,Disband,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
CAMILA,c.c_entertainment,Female,2018,2019,Disband,2,0,3,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2019
Carcaro Girl,reverse_social,Female,2011,2011,Disband,1,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2011
Celeb Five,contents_lab_vivo,Female,2018,0,Active,1,0,4,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2019
Cherry Bullet,fnc_w,Female,2019,0,Active,12,0,7,7,10,3,0,0,1,0,2,2,0,0,0,0,0,0,0,0,2021
CHERRY ON TOP,united_creative,Female,2018,2019,Disband,5,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2018
CHI CHI,trophy_entertainment,Female,2011,2013,Disband,0,0,5,5,7,3,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2012
Chic Angel,liz_entertainment,Female,2015,0,Active,6,0,4,4,6,2,0,0,0,0,0,3,1,0,0,0,0,0,0,4,2020
CHIC&IDLE,liz_entertainment,Female,2020,0,Active,2,0,9,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020
Chloris,fab_entertainment,Female,2017,2020,Disband,7,0,4,2,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
ChoColat,paramount_music,Female,2011,2014,Disband,1,0,6,6,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2013
cignature,j9_entertainment,Female,2020,0,Active,7,0,5,5,7,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,2020
CLC,cube_entertainment,Female,2015,0,Active,7,0,6,6,6,1,0,0,8,0,1,4,0,0,2,0,0,0,0,4,2021
CLEO,emi_(korea),Female,1999,2005,Disband,0,0,3,1,3,4,0,5,0,0,0,1,0,0,0,0,0,0,0,0,2005
CoCo,fancy_factory,Female,2019,0,Active,6,0,6,3,7,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2020
Cooki,dream_scape_entertainment,Female,1998,2001,Disband,0,0,4,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2000
Cookie,hr_entertainment,Female,2021,0,Active,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2021
CRAXY,sai_entertainment,Female,2020,0,Active,6,0,5,5,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2020
Crayon Pop,chrome_entertainment,Female,2012,2016,Disband,8,0,4,4,5,1,1,1,3,0,3,2,0,1,1,1,2,0,0,6,2016
CST,dreamcense,Female,2018,2018,Disband,2,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
Cupid,narda_entertainment,Female,2015,2019,Disband,0,0,2,1,4,8,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2018
CutieL,colabs,Female,2010,2018,Disband,2,0,5,0,7,25,0,1,1,0,0,5,0,0,0,0,0,0,0,0,2016
D.el,colabs,Female,2016,2017,Disband,0,0,5,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2017
D.Holic,star_road_entertainment,Female,2014,2017,Disband,5,0,6,2,5,7,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2016
Dalshabet,happyface_entertainment,Female,2011,2019,Disband,4,0,6,5,6,2,0,1,10,0,0,0,0,0,0,0,1,0,0,1,2016
DayDream(2016),colabs,Female,2016,2016,Disband,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
Daydream(2019),great_company,Female,2019,2020,Disband,3,0,6,4,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020
Delight(2013),bros_media_entertainment,Female,2013,2015,Disband,3,0,5,3,4,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2014
DESTINY,fate_entertainment,Female,2018,0,Active,3,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2019
DIA,colabs,Female,2015,0,Active,5,1,7,4,7,5,2,2,6,0,0,1,0,0,0,0,0,0,0,1,2020
DICE,bros_entertainment,Female,2016,2017,Disband,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
Diva,colabs,Female,1997,2005,Disband,0,0,3,3,4,1,0,8,0,0,0,0,0,1,0,0,0,0,0,2,2005
Dorothy,leek.mill,Female,2016,2017,Disband,3,0,6,5,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
Dream Candy,colabs,Female,2020,0,Active,2,0,7,3,7,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2020
Dreamcatcher,dreamcatcher_company,Female,2017,0,Active,8,0,7,7,7,0,0,1,6,1,2,0,2,1,0,0,4,3,0,1,2021
DreamNote,ime_korea,Female,2018,0,Active,5,0,6,6,8,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2020
Elado,ao_entertainment,Female,2017,2017,Disband,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
ELRIS,hunus_entertainment,Female,2017,0,Active,6,0,7,6,6,1,0,0,4,0,0,1,0,0,0,0,0,0,0,1,2020
Enue,samsung_music,Female,1997,1999,Disband,0,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1997
Episode,pops_entertainment,Female,2015,0,Active,7,0,5,1,4,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2020
EVERGLOW,yue_hua_entertainment,Female,2019,0,Active,6,0,6,6,6,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,2021
EvoL,stardom_entertainment,Female,2012,2015,Disband,2,0,5,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2013
EXID,tokuma_japan_communications,Female,2012,0,Active,10,0,5,3,5,6,0,1,5,0,2,9,0,2,0,0,2,3,0,2,2020
f(x),sm_entertainment,Female,2009,2019,Disband,5,0,5,5,5,0,0,4,2,0,1,3,1,0,0,0,2,1,0,7,2016
F-ve Dolls,colabs,Female,2011,2015,Disband,1,0,6,3,5,5,0,0,2,1,0,2,0,0,0,0,0,0,0,1,2013
FANATICS,fent,Female,2019,0,Active,4,0,6,6,6,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2021
Fantastie,in_entertainment,Female,2016,2017,Disband,1,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
Fanxy Red,tov_entertainment,Female,2017,0,Active,2,1,4,4,7,3,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2020
fromis_9,off_the_record_entertainment,Female,2017,0,Active,8,0,9,9,9,0,0,0,3,0,2,1,1,0,0,0,0,0,0,0,2021
FAVORITE,astory_entertainment,Female,2017,0,Active,6,0,6,6,6,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,2020
FIESTAR,fave_entertainment,Female,2012,2018,Disband,0,0,5,5,6,1,0,0,2,0,3,4,1,0,0,0,0,0,0,4,2018
FIONA,supreme_entertainment,Female,2015,2016,Disband,0,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
