Group Name,Company,Group Type,Debute Year,Disband Year,Current Status,Social Accounts,Inactive Members,Current Members,Original Members Remainding,Initial Members,Member Changes,SubUnits,Albums,Mini Albums, Other Albums,Singles,Digital Singles,Other Singles,Foreign Albums, Foreign Mini Albums,Foreign Other Album,Foreign Singles,Foreign Digital Singles,Foreign Other Singles,Others,Last Production Year
ANDS,Colabs,Female,2014,2016,Disband,0,0,3,3,5,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2015
ANS,ANS Entertainment,Female,2019,2020,Disband,7,0,8,6,6,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2020
AOA,FNC Entertainment,Female,2012,,Active,8,0,3,3,8,5,2,1,6,0,5,0,0,2,0,0,5,2,0,2,2019
API,Girl Group API,Female,2019,,Active,3,0,5,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2020
Apink,Play M Entertainment,Female,2011,,Active,10,0,6,6,7,1,3,3,9,1,0,9,1,3,0,0,9,0,0,3,2021
Apple.B,GH Entertainment,Female,2017,2018,Disband,4,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
APRIL,DSP Media,Female,2015,,Active,9,0,6,4,6,4,0,0,7,0,2,0,2,0,0,0,2,0,0,7,2020
April Kiss,Olleh Music,Female,2011,2011,Disband,1,0,6,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2011
AQUA,KRAZY Entertainment,Female,2018,2019,Disband,1,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
AREAL,JZ Factory Entertainment,Female,2020,2021,Disband,5,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020
ARIAZ,Rising Star Entertainment,Female,2019,,Active,4,0,6,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2019
As One,Chorokbaemjuna E&M,Female,2012,2016,Disband,3,0,6,6,6,0,0,0,0,0,0,2,0,0,1,0,0,7,0,0,2016
ASHA,CM Entertainment,Female,2015,2016,Disband,4,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
Asome.D,DY Entertainment,Female,2020,,Active,6,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2020
Awe5ome Baby,TN Entertainment,Female,2015,2016,Disband,5,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015
AWESOME,Midum Entertainment,Female,2017,2018,Disband,3,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
AZM,Innok Entertainment,Female,2018,2019,Disband,3,0,4,3,4,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2018
B Girls,AfreecaTV,Female,2018,,Active,0,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
BaBa,PR Entertainment,Female,2015,2020,Disband,5,0,7,1,6,20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2018
Baby Boo,Hyunda Company,Female,2015,2020,Disband,2,0,3,1,4,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2019
Baby V.O.X,DR Music,Female,1997,2006,Disband,0,0,1,2,6,7,0,7,0,1,0,0,0,0,0,1,0,0,0,0,2004
BADKIZ,US Entertainment,Female,2014,2020,Disband,0,0,4,0,5,22,0,0,0,0,0,8,1,0,0,0,0,0,0,0,2019
Bambino,JS Entertainment,Female,2015,2017,Disband,1,0,4,3,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2016
Bay.B,CAN Entertainment,Female,2014,2016,Disband,4,0,3,3,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2015
BBURECTOR,BBU Entertainment,Female,2018,2018,Disband,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
BeBe Mignon,Happyface Entertainment,Female,2010,2011,Disband,0,0,3,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,2011
BEBE6,K12 Company,Female,2017,2020,Disband,4,0,3,3,5,4,0,0,1,0,0,3,0,0,0,0,0,0,0,1,2019
Bebop,HMI Entertainment,Female,2013,2016,Disband,3,0,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2014
Berry Chu,Gyeolhwa Entertainment,Female,2017,,Active,0,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
Berry Good,JTG Entertainment,Female,2014,,Active,6,1,2,0,5,9,1,1,4,0,0,6,0,0,0,0,0,0,0,5,2021
BESTie,YNB Entertainment,Female,2013,2018,Disband,4,0,2,2,4,2,0,0,2,0,0,5,0,0,0,0,0,0,0,0,2015
Black Bunny,LAentertainment,Female,2019,2020,Disband,4,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2019
Black Swan(2016),GM Entertainment,Female,2016,2016,Disband,1,0,4,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2016
BLACKPINK,YG Entertainment,Female,2016,,Active,9,0,4,4,4,0,0,1,2,1,1,3,0,2,1,2,1,0,0,6,2020
BLACKSWAN(2020),DR Music,Female,2020,,Active,4,0,4,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2020
Blady,Colabs,Female,2011,2017,Disband,3,0,5,0,5,13,1,0,1,0,0,4,0,0,0,0,0,0,0,0,2015
Blah Blah,FAB Entertainment,Female,2017,2019,Disband,4,0,2,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
Blastar,VH Entertainment,Female,2020,2020,Disband,1,0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020
Bling,PS Creative,Female,2015,2018,Disband,3,0,4,3,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016
Bling Bling,MAJOR9,Female,2020,,Active,6,0,6,6,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2021
Bloomy,DS Entertainment,Female,2016,2017,Disband,6,0,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
Blue Fox,Blue Fox Entertainment,Female,2018,,Active,3,0,5,1,4,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
BlueMint,StarCore,Female,2019,,Active,1,0,6,5,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2019
Bob Girls,Chrome Entertainment,Female,2014,2015,Disband,4,0,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2014
